Y;X;Stationsname;Stationsnummer;Rechtswert;Hochwert;EPSG-Code
47.2419200352546;10.2935031171791;Steeg;"201012";147008;233674;EPSG:31257
47.4416071312635;11.89419170916;Rattenberg;"201814";267754.85;257051.02;EPSG:31257
47.5141978278423;12.3339091350684;Going am Wilden Kaiser;"202614";300712.82;265879.59;EPSG:31257
47.661173331779;12.4045000953778;K�ssen Landbr�cke;2hd791;305594;282359;EPSG:31257
47.5422396417637;12.1777182646479;Kaiserwerk;"201897";288874.58;268706.41;EPSG:31257
47.4548563877291;12.3893794348121;Kitzb�hel (Bahnhofsbr�cke);"201913";305065.16;259391.28;EPSG:31257
47.2621930365535;11.3808307733618;Innsbruck;"201525";229301.7;236456.41;EPSG:31257
47.3633975105562;11.1125714575041;Leutasch (Klamm);"202127";208887;247471;EPSG:31257
47.6559919457608;12.3905960540119;K�ssen Waidach;"202630";304564.96;281755.16;EPSG:31257
47.4407386646087;10.6457851382243;Weissenbach;"202747";173592.27;255823.87;EPSG:31257
46.8679438024666;12.8276766424003;Obernu�dorf;"212217";340196.08;195112.25;EPSG:31257
46.9045078608127;12.6292538361605;St Johann im Walde (Br�cke);"212159";324949.63;198715.62;EPSG:31257
46.8316971026792;12.7662160927474;Lienz;"212167";335635.13;190936.03;EPSG:31257
46.7542317215534;12.4359404951572;Heinfels;"202754";310668.13;181597.91;EPSG:31257
47.1130710390341;11.4523841611938;Puig (Matrei am Brenner);"201574";234954;219953;EPSG:31257
